Image Number,Center X,Center Y,StdDev Horizontal,Std Dev Vertical
154,187.13559762838133,329.51685230643136,2.083912846195953,3.300784079309373
155,187.40105015626258,329.53867670663755,2.14805160685666,3.2933937706575724
156,187.47298980472146,329.56496093677737,2.1638184471687887,3.301333072095006
157,231.53011125776158,328.40789450036294,2.6073775062440263,2.988502538747351
158,232.95501178876998,327.80492336093096,2.424236811554027,2.350854989534598
159,229.72646596258252,329.3298075897175,1.7204738903289671,3.0704923118251815
160,231.2073236731834,328.6714932883225,2.4438861147678295,2.994769224677437
161,272.85319893527105,329.5668274175589,2.341440048111982,2.0154389968753095
162,282.2212417820937,329.4367762421606,1.6558383645274921,2.653180738201903
163,272.98005102373446,329.914142628833,2.0535729706681347,2.386063407880205
164,272.95435454694245,330.43431753911966,2.0639940112617947,2.36112135650202
165,312.8967133138425,330.7228636434229,2.4191353299335647,2.683491777579408
166,312.8953561925438,330.8465788842154,2.4840737872275156,2.6822749686071305
167,313.02590086745846,330.8849995926087,2.3762208918687464,2.697650571027151
168,312.9409779932792,330.75973451781795,1.7568824225422763,2.681011243704313
169,395.70755072087877,331.7781381458078,2.4577717664195537,2.5638227463557386
170,395.3337266028771,331.43381176706987,2.181281870585342,3.1337432803521126
171,395.80626830723384,331.83504925004354,3.343168830623854,2.549566986608766
172,395.9132452906355,331.8528749734858,3.487324246008807,2.5438283475869454
173,172.9730835697278,153.07041804847032,2.9494726617733757,3.382217579007034
174,174.54971679519662,153.38021154909217,2.9795452304182835,3.4124393018031505
175,174.36354763148583,153.16813701756828,3.0454139103327917,3.4583182798940344
176,174.35826919924722,153.1700612928826,3.0211141262576273,3.4091382049295103
177,217.2505549073576,156.64130212161544,3.566395537735253,5.205239829046527
178,217.6980323106648,156.20521332851527,3.441914436456696,5.052429489736655
179,217.06819564151806,156.2917309214015,3.586543606555209,5.007013880138526
180,217.747171393919,156.15624360378254,2.801603355598029,5.1577319803732085
181,260.65829263531697,157.11165943543224,4.071932875596254,4.2654996092602575
182,260.2873418729937,156.01133511605644,3.8080469436278466,4.739826748647123
183,260.65241208670443,156.65264585083804,4.066095494476047,4.309005262298059
184,260.7008275437579,157.3470048006293,4.0954566230931215,3.4845516638308904
185,303.74815224402664,155.66355774568396,3.170947192231751,3.473866833204008
186,302.12965337523497,155.7857969814269,2.9930059801075064,6.048866083796893
187,300.60769039476713,155.76327680748759,3.9951348071403796,5.998453375045407
188,303.74316048048706,155.85489621294607,2.9236413377489514,3.326076201679362
189,384.93902681068244,157.58958174688522,3.689645238386051,3.2199234634363325
190,385.6953493035584,155.9304125075569,3.6373602156895406,3.649388391215581
191,384.52200141722733,157.28840768944934,4.29808384390818,2.2580181721891828
192,385.00974793928197,156.45140110834245,3.6598188496146618,4.150545508756308
1
59,93.01404247432006,213.5226271525372,0.5227911458975513,6.748081819440171
60,94.33424540812612,209.6207769002175,0.712959043184757,5.35016277729406
61,96.49374458366215,210.39800263419923,1.1303680657085802,5.547156704495216
62,176.2808701725152,230.63601199191507,1.0055010380867206,7.308688366893414
63,177.7659470241458,230.15931042185892,1.1083723356140194,7.241140371768349
64,177.32083639697316,228.6702361548934,0.9940812742434725,6.592321670041416
65,261.4355459288758,202.518302086519,4.641943406474736,13.108375146006386
66,261.77358521125467,208.71156784518865,4.228802506962239,2.433228596876354
67,262.2239840728469,206.93200819390404,3.913133965048002,3.8722633351342384
73,271.56840159049864,202.43979307690176,6.020267230118504,9.252928727047907
74,271.7499513480728,203.11926113487155,6.298067280843489,9.460113190107432
75,271.44195864454383,203.13378150076727,6.235685371158418,8.78878791063504
77,350.3678386604973,205.31362830989096,5.486198418330991,5.167398353061708
78,350.84767505700546,204.7348154139331,5.884173027734943,3.1267473645330095
79,350.3672092162146,202.65537701706708,8.070802178703657,2.602867171044783
80,311.14553424067776,202.4869088895573,6.8627096705514905,3.849897420660647
81,308.52906773639614,197.89051485190024,6.52057770401923,6.5753546391985545
82,310.7458930121221,195.62555942687163,5.367642235757289,7.169712735992463
83,310.4462741092919,196.04905416426502,5.898927104709222,7.285208599925228
84,132.59882836689548,252.18106881985727,9.792699149145234,6.074176114983168
85,130.27271083469327,255.0125898993776,6.541689138699417,7.5432442383212415
86,128.24730309169942,258.24673630933165,4.738368491228839,8.535578411913749
87,130.45275524711,255.95852341410014,7.110134503566371,8.006575003774147
88,170.36255985278285,256.37507510380607,5.690121369029169,6.698852732879058
89,172.0725262476556,250.99873611079994,6.021708452291268,4.7312867200629105
90,172.12065301401947,251.62393859671212,6.229499399540459,5.814534676493482
91,176.161018968339,256.37597941761925,9.979846996542312,5.435649021007985
92,212.93760785065032,253.73852022713282,4.877015070829818,4.420381137303506
93,212.87022485654242,254.1472663576613,6.024553307028744,4.36937145736752
94,212.6901735716537,254.11072679512063,6.253967049885242,4.460238419613106
95,214.72029157599158,253.32794140075904,10.942416527294561,4.6292928147759165
96,255.87095795884755,251.70990738025452,6.095777014998389,3.032297848733597
97,255.65851168088042,252.1188764922263,6.119873150459129,4.2912655878809405
98,256.06917412538536,251.38312888217393,6.172049945445992,3.0818160436840696
99,256.4256676707784,252.06892690237498,6.2866487953086825,3.3887198764991386
100,297.8256649973607,253.8462555802079,5.924725404966239,4.397206605295746
101,297.5756213294392,253.9391774660706,5.944381655046086,4.005013371810662
102,297.502368857641,253.7073727620472,5.860286142652836,4.041363460966722
103,297.7274471303382,253.7310964744231,6.239643764909305,4.305568077335959
