Image Number,Center X,Center Y,StdDev Horizontal,Std Dev Vertical,
127,442.2191901,315.5624488,2.275416429,5.721606222,
128,440.9195945,316.1320465,1.959733233,2.12793613,
129,482.4868589,317.7187731,1.760711011,2.837186752,
130,485.077771,315.7744691,1.876571793,2.865671883,
131,482.3554415,316.9661161,1.737629421,2.691241938,
132,480.7531236,316.3363629,1.885581584,2.381456819,
133,9.357026816,301.1394482,7.424860692,3.888697336,
134,60.72228834,293.4657307,2.410669491,2.816753402,
135,60.53625758,293.2506041,2.610803253,2.504754891,
136,59.62145759,298.4361014,2.409380579,3.230447055,
137,103.2748467,295.0002111,2.285610091,3.448504993,
138,108.7313646,294.0818247,1.941384263,2.600507881,
139,98.77723689,295.1770333,2.394266051,2.756924387,
140,109.8090092,293.9924853,1.789054477,2.547258237,
141,121.6681385,299.5494119,1.285859505,2.314668892,
142,117.0240124,298.3520769,3.085394371,3.004881909,
143,118.231263,298.9916067,2.3397467,3.279021573,
144,119.3795533,299.4061851,2.582789129,3.228779442,
145,145.2816959,296.1970142,2.38417805,2.058778107,
146,20.45948253,296.5421431,2.681947682,2.011036224,
147,145.2227435,296.1268899,2.395705671,2.043939485,
148,140.6543991,296.4875091,3.005656896,2.058048941,
149,176.9462544,296.4796109,2.24719876,2.122544254,
150,148.5858476,296.4403641,2.206492677,2.144769353,
151,65.25284426,296.7475332,2.121864812,2.069698061,
152,178.3156184,296.2248128,2.213752826,2.117494282,
153,181.1171007,328.9279925,1.042514147,2.315998788,
154,159.2464172,329.6605288,0.722943069,2.202447441,
155,181.1092004,329.3955388,0.942331973,2.157325361,
156,181.3698422,329.4487599,0.935400997,2.159791188,
157,231.0298311,328.6050525,1.743400369,2.014717548,
158,240.4715846,328.1027257,1.297159757,1.643873703,
159,230.7677404,328.3139315,1.058343333,2.111095523,
160,229.5831095,328.8765845,1.186522348,2.087957983,
161,274.5137789,329.787221,1.746109884,1.564619793,
162,282.1821412,329.1227352,1.655838365,1.70307133,
163,274.4928638,329.3941296,1.454030821,1.270915558,
164,273.8955019,330.3408954,1.582117708,1.359498013,
165,313.5529536,331.0516411,1.516937377,1.509223594,
166,313.3897344,330.8407781,1.689424981,2.682274969,
167,313.7752015,331.2133122,1.484833323,1.572483211,
168,313.5745346,331.0747921,1.494009096,1.508575908,
169,396.3749593,331.9599787,2.151936274,1.343475157,
170,395.4237167,331.4329569,1.38376668,3.13374328,
171,396.5362021,332.0594479,2.233402524,1.33687979,
172,396.1637403,332.0628234,2.324809169,1.357494946,
173,159.2585618,152.0587907,2.454979661,2.419010121,
174,167.764136,151.9791958,2.249078383,2.39506924,
175,174.3513505,152.8927439,3.04541391,3.046012787,
176,163.8593125,152.1163908,2.245850906,2.431233894,
177,205.7580054,155.8305562,1.827178353,3.281469065,
178,214.6691565,155.4932254,2.282992011,3.193875104,
179,181.5625169,155.9851325,1.905636989,3.261743342,
180,222.7501825,155.2467436,0.53759681,3.263462486,
181,262.2540038,157.0830956,2.25298472,4.265499609,
182,259.441742,154.8143458,2.740600452,3.54091322,
183,262.3021049,155.3844415,2.205532074,1.69929688,
184,262.2291226,157.3954305,2.293182978,2.60561097,
185,304.5189197,156.0942392,1.719384081,2.919789238,
186,303.0823173,157.2681966,1.029613582,3.819098347,
187,301.7653099,157.2055926,2.575352453,3.818184906,
188,304.453398,156.148651,1.750578234,2.570731724,
189,384.9615182,156.8279163,3.147447988,2.436219831,
190,385.142509,155.9370708,3.034486866,3.649388391,
191,386.1865606,157.1308598,3.021833082,1.681812081,
192,385.0689288,156.5647839,3.129473983,2.464805802,
1,,,,,
59,92.98020296,210.7301638,0.522791146,3.672149354,
60,94.33424541,209.6207769,0.712959043,5.350162777,
61,92.64802764,210.5177497,0.595418733,5.547156704,
62,207.5747279,229.3538544,0.572121859,7.308688367,
63,178.2643509,230.1392843,0.916307827,7.241140372,
64,178.1218968,228.6406397,0.596703167,6.59232167,
65,263.1356007,202.5171299,2.993282392,13.10837515,
66,263.5498432,207.7381358,3.121060979,1.878113055,
67,263.39403,208.059889,3.084362941,2.375246951,
